iter	Passed	Remaining
0	68	68243
1	117	58445
2	171	57084
3	222	55393
4	274	54538
5	327	54284
6	373	53044
7	436	54159
8	490	54027
9	535	53061
10	582	52332
11	639	52645
12	685	52082
13	730	51469
14	775	50939
15	818	50365
16	867	50186
17	930	50777
18	990	51162
19	1043	51140
20	1109	51715
21	1158	51485
22	1214	51575
23	1269	51606
24	1318	51410
25	1379	51675
26	1432	51618
27	1483	51515
28	1531	51281
29	1580	51093
30	1622	50708
31	1678	50773
32	1730	50694
33	1779	50556
34	1849	50990
35	1894	50739
36	1946	50664
37	1993	50464
38	2040	50281
39	2095	50294
40	2154	50389
41	2228	50836
42	2276	50655
43	2321	50444
44	2366	50220
45	2417	50137
46	2467	50028
47	2515	49881
48	2575	49983
49	2630	49976
50	2682	49917
51	2737	49900
52	2803	50085
53	2855	50017
54	2909	49994
55	2973	50118
56	3022	50010
57	3073	49912
58	3134	49985
59	3185	49911
60	3231	49744
61	3275	49554
62	3318	49358
63	3362	49182
64	3409	49047
65	3458	48936
66	3501	48753
67	3550	48662
68	3596	48530
69	3644	48413
70	3694	48334
71	3738	48182
72	3781	48023
73	3828	47911
74	3873	47768
75	3918	47642
76	3963	47507
77	4012	47433
78	4057	47308
79	4105	47211
80	4166	47268
81	4214	47180
82	4260	47066
83	4304	46941
84	4354	46876
85	4406	46828
86	4449	46689
87	4494	46574
88	4541	46488
89	4587	46387
90	4637	46324
91	4678	46174
92	4723	46067
93	4766	45941
94	4808	45809
95	4854	45709
96	4903	45643
97	4946	45527
98	4989	45409
99	5031	45287
100	5075	45173
101	5124	45111
102	5178	45100
103	5232	45077
104	5275	44970
105	5319	44863
106	5362	44756
107	5415	44728
108	5461	44644
109	5505	44544
110	5548	44441
111	5591	44332
112	5635	44235
113	5680	44151
114	5731	44106
115	5774	44005
116	5818	43913
117	5863	43827
118	5907	43732
119	5948	43623
120	5992	43532
121	6035	43436
122	6074	43308
123	6116	43213
124	6162	43138
125	6208	43062
126	6249	42961
127	6289	42848
128	6331	42750
129	6372	42647
130	6412	42536
131	6451	42424
132	6492	42320
133	6530	42206
134	6570	42101
135	6610	41995
136	6651	41902
137	6694	41815
138	6733	41711
139	6773	41608
140	6816	41524
141	6858	41438
142	6902	41363
143	6940	41256
144	6982	41175
145	7024	41090
146	7067	41011
147	7108	40922
148	7152	40853
149	7201	40808
150	7243	40725
151	7283	40636
152	7323	40544
153	7365	40462
154	7406	40376
155	7447	40291
156	7490	40218
157	7530	40133
158	7572	40053
159	7613	39970
160	7652	39880
161	7692	39793
162	7734	39717
163	7774	39628
164	7814	39544
165	7856	39473
166	7897	39391
167	7936	39305
168	7979	39235
169	8022	39170
170	8062	39086
171	8105	39021
172	8146	38943
173	8193	38895
174	8235	38824
175	8277	38751
176	8316	38670
177	8358	38598
178	8400	38531
179	8447	38481
180	8490	38416
181	8531	38342
182	8571	38267
183	8610	38186
184	8647	38096
185	8683	38001
186	8723	37924
187	8763	37850
188	8805	37782
189	8847	37718
190	8896	37683
191	8937	37612
192	8980	37551
193	9021	37479
194	9062	37410
195	9099	37327
196	9136	37243
197	9177	37173
198	9219	37111
199	9262	37048
200	9305	36989
201	9337	36889
202	9376	36814
203	9415	36739
204	9457	36675
205	9499	36615
206	9537	36536
207	9570	36442
208	9608	36364
209	9646	36290
210	9684	36214
211	9720	36131
212	9763	36074
213	9807	36022
214	9849	35961
215	9883	35872
216	9920	35797
217	9956	35717
218	10000	35663
219	10039	35594
