iter	Passed	Remaining
0	60	60155
1	99	49450
2	135	44925
3	174	43412
4	222	44318
5	264	43803
6	306	43476
7	345	42878
8	387	42637
9	424	42041
10	463	41697
11	503	41491
12	546	41493
13	585	41231
14	622	40902
15	663	40776
16	703	40685
17	743	40537
18	784	40519
19	827	40565
20	866	40411
21	908	40367
22	950	40373
23	992	40369
24	1035	40366
25	1079	40433
26	1119	40352
27	1161	40310
28	1199	40167
29	1238	40033
30	1279	39995
31	1320	39939
32	1364	39969
33	1403	39862
34	1447	39902
35	1509	40432
36	1573	40944
37	1618	40980
38	1660	40913
39	1702	40858
40	1740	40722
41	1781	40627
42	1818	40480
43	1859	40411
44	1899	40319
45	1939	40226
46	1977	40101
47	2018	40029
48	2061	40000
49	2116	40204
50	2162	40234
51	2211	40321
52	2251	40236
53	2290	40119
54	2330	40034
55	2369	39941
56	2408	39843
57	2447	39754
58	2488	39693
59	2529	39629
60	2570	39565
61	2611	39513
62	2654	39485
63	2702	39520
64	2744	39483
65	2783	39396
66	2823	39322
67	2862	39235
68	2906	39213
69	2947	39158
70	2989	39109
71	3030	39062
72	3071	39008
73	3111	38936
74	3152	38876
75	3192	38815
76	3232	38751
77	3273	38699
78	3315	38649
79	3355	38592
80	3393	38502
81	3432	38423
82	3478	38427
83	3518	38369
84	3558	38308
85	3598	38240
86	3636	38163
87	3677	38114
88	3714	38024
89	3755	37970
90	3794	37905
91	3834	37843
92	3873	37775
93	3912	37713
94	3953	37662
95	3992	37596
96	4032	37543
97	4074	37498
98	4111	37422
99	4152	37369
100	4188	37281
101	4228	37224
102	4276	37244
103	4318	37204
104	4359	37163
105	4399	37103
106	4439	37048
107	4481	37017
108	4530	37035
109	4576	37027
110	4621	37010
111	4661	36959
112	4705	36933
113	4743	36865
114	4789	36858
115	5042	38428
116	5116	38610
117	5164	38601
118	5228	38708
119	5291	38807
120	5353	38892
121	5400	38862
122	5438	38775
123	5479	38707
124	5516	38615
125	5560	38572
126	5599	38492
127	5638	38414
128	5675	38322
129	5714	38240
130	5755	38178
131	5794	38103
132	6028	39298
133	6066	39204
134	6103	39109
135	6142	39024
136	6180	38932
137	6219	38847
138	6258	38764
139	6297	38687
140	6335	38596
141	6373	38509
142	6413	38439
143	6454	38368
144	6494	38293
145	6532	38210
146	6571	38129
147	6610	38052
148	6646	37959
149	6686	37889
150	6725	37813
151	6761	37723
152	6800	37647
153	6838	37567
154	6876	37485
155	6914	37408
156	6957	37357
157	6994	37276
158	7030	37188
159	7068	37107
160	7105	37027
161	7142	36947
162	7180	36873
163	7219	36799
164	7257	36726
165	7296	36660
166	7335	36588
167	7374	36521
168	7415	36462
169	7454	36393
170	7493	36327
171	7530	36250
172	7568	36178
173	7614	36148
174	7656	36095
175	7691	36008
176	7727	35929
177	7767	35869
178	7804	35794
179	7841	35720
180	7880	35657
181	7923	35614
182	7973	35598
183	8015	35546
184	8056	35489
185	8094	35423
186	8130	35349
187	8164	35265
188	8201	35192
189	8236	35112
190	8266	35013
191	8308	34965
192	8357	34946
193	8399	34898
194	8448	34877
195	8506	34895
196	8574	34952
197	8612	34884
198	8665	34877
199	8700	34800
200	8739	34739
201	8777	34674
202	8818	34622
203	8855	34553
204	8889	34472
205	8934	34435
206	9056	34695
207	9184	34970
208	9286	35145
209	9413	35413
210	9517	35588
211	9677	35970
212	9855	36413
213	9971	36625
214	10091	36845
215	10210	37059
216	10330	37275
217	10375	37219
218	10416	37145
219	10462	37094
220	10515	37066
221	10559	37004
222	10602	36943
223	10700	37068
224	10964	37765
225	11008	37703
226	11069	37696
227	11300	38262
228	11464	38597
229	11642	38976
230	11837	39406
231	11960	39593
232	12086	39786
233	12272	40172
234	12427	40455
235	12525	40547
236	12592	40540
237	12652	40510
238	12707	40460
239	12764	40422
240	12834	40421
241	12894	40387
242	12941	40314
243	12986	40237
244	13029	40152
245	13070	40061
246	13115	39984
247	13157	39897
248	13202	39820
249	13245	39735
250	13279	39625
251	13315	39524
252	13351	39419
253	13392	39334
254	13426	39227
255	13458	39115
256	13497	39021
257	13534	38925
258	13566	38812
259	13605	38722
260	13647	38642
261	13679	38531
262	13713	38428
263	13745	38320
264	13782	38226
265	13821	38138
266	13854	38036
267	13891	37942
268	13925	37841
269	13955	37730
270	13994	37646
271	14034	37563
272	14073	37477
273	14104	37372
274	14136	37269
275	14174	37182
276	14206	37080
277	14236	36974
278	14264	36863
279	14297	36764
280	14332	36671
281	14362	36568
282	14399	36482
283	14434	36391
284	14469	36301
285	14507	36218
286	14534	36108
287	14569	36017
288	14599	35917
289	14632	35824
290	14668	35738
291	14701	35646
292	14735	35555
293	14772	35473
294	14807	35388
295	14842	35301
296	14881	35223
297	14918	35144
298	14958	35069
299	14993	34985
300	15027	34897
301	15064	34818
302	15100	34735
303	15133	34648
304	15169	34566
305	15204	34483
306	15245	34413
307	15281	34333
308	15318	34255
309	15360	34190
310	15399	34115
311	15435	34038
312	15477	33970
313	15514	33894
314	15544	33803
315	15577	33718
316	15612	33638
317	15651	33566
318	15687	33488
319	15723	33411
320	15762	33341
321	15793	33255
322	15830	33180
323	15869	33111
324	15908	33039
325	15947	32972
326	15989	32908
327	16024	32831
328	16066	32767
329	16100	32688
330	16137	32616
331	16172	32539
332	16208	32466
333	16247	32397
334	16288	32333
335	16320	32253
336	16352	32171
337	16387	32096
338	16421	32019
339	16454	31941
340	16491	31870
341	16531	31806
342	16573	31744
343	16601	31659
344	16645	31601
345	16673	31515
346	16706	31439
347	16742	31368
348	16778	31298
349	16809	31217
350	16846	31149
351	16880	31076
352	16919	31011
353	16953	30937
354	16990	30869
355	17028	30805
356	17065	30736
357	17101	30667
358	17139	30602
359	17180	30542
360	17216	30474
361	17252	30407
362	17290	30340
363	17326	30273
364	17366	30212
365	17397	30136
366	17434	30071
367	17468	30000
368	17515	29951
369	17553	29888
370	17588	29819
371	17629	29760
372	17665	29694
373	17701	29628
374	17735	29558
375	17773	29495
376	17807	29427
377	17841	29357
378	17882	29300
379	17919	29237
380	17953	29168
381	17986	29098
382	18026	29039
383	18062	28974
384	18098	28910
385	18135	28847
386	18170	28781
387	18205	28715
388	18240	28650
389	18271	28578
390	18308	28515
391	18338	28442
392	18375	28381
393	18412	28320
394	18451	28261
395	18487	28198
396	18519	28129
397	18562	28076
398	18603	28021
399	18644	27967
400	18677	27899
401	18719	27846
402	18762	27794
403	18801	27737
404	18840	27678
405	18877	27618
406	18913	27557
407	18945	27489
408	18979	27424
409	19013	27360
410	19049	27300
411	19091	27246
412	19125	27182
413	19158	27118
414	19194	27056
415	19231	26998
416	19268	26939
417	19308	26883
418	19350	26832
419	19395	26784
420	19435	26729
421	19473	26671
422	19514	26618
423	19551	26561
424	19585	26498
425	19624	26441
426	19664	26388
427	19700	26329
428	19742	26277
429	19780	26221
430	19823	26171
431	19861	26114
432	19900	26059
433	19938	26002
434	19972	25941
435	20010	25884
436	20045	25824
437	20080	25765
438	20116	25707
439	20154	25651
440	20188	25590
441	20222	25529
442	20262	25476
443	20299	25420
444	20339	25367
445	20381	25317
446	20418	25260
447	20452	25200
448	20483	25137
449	20515	25074
450	20551	25017
451	20595	24969
452	20634	24916
453	20670	24859
454	20708	24804
455	20736	24738
456	20771	24679
457	20805	24621
458	20843	24567
459	20875	24505
460	20912	24450
461	20943	24388
462	20976	24328
463	21013	24274
464	21049	24218
465	21085	24162
466	21127	24112
467	21171	24066
468	21209	24013
469	21256	23969
470	21290	23911
471	21324	23854
472	21360	23799
473	21400	23747
474	21435	23691
475	21471	23636
476	21505	23579
477	21542	23525
478	21580	23472
479	21620	23422
480	21658	23369
481	21698	23318
482	21738	23268
483	21778	23218
484	21812	23161
485	21856	23116
486	21885	23053
487	21927	23006
488	21968	22956
489	22008	22906
490	22042	22850
491	22080	22798
492	22122	22750
493	22162	22700
494	22193	22642
495	22233	22592
496	22274	22543
497	22314	22493
498	22352	22441
499	22394	22394
500	22433	22343
501	22474	22294
502	22509	22241
503	22554	22196
504	22595	22148
505	22636	22099
506	22674	22048
507	22711	21996
508	22753	21949
509	22792	21898
510	22833	21850
511	22870	21798
512	22912	21751
513	22951	21701
514	22992	21653
515	23029	21600
516	23062	21545
517	23103	21498
518	23140	21446
519	23181	21397
520	23226	21353
521	23273	21311
522	23320	21269
523	23361	21221
524	23402	21173
525	23443	21125
526	23485	21079
527	23521	21027
528	23562	20978
529	23608	20935
530	23650	20889
531	23692	20841
532	23732	20793
533	23776	20748
534	23818	20701
535	23856	20651
536	23890	20598
537	23929	20549
538	23963	20495
539	23997	20442
540	24037	20394
541	24076	20345
542	24122	20302
543	24166	20257
544	24202	20206
545	24240	20156
546	24281	20108
547	24320	20060
548	24365	20016
549	24406	19968
550	24447	19921
551	24488	19874
552	24527	19826
553	24556	19769
554	24594	19719
555	24635	19673
556	24674	19624
557	24715	19577
558	24760	19533
559	24803	19488
560	24848	19444
561	24891	19399
562	24938	19357
563	24978	19309
564	25018	19261
565	25050	19208
566	25097	19165
567	25139	19120
568	25183	19075
569	25226	19030
570	25265	18982
571	25303	18933
572	25347	18888
573	25383	18838
574	25427	18794
575	25465	18745
576	25500	18694
577	25540	18647
578	25581	18600
579	25623	18555
580	25662	18506
581	25706	18462
582	25750	18418
583	25783	18366
584	25814	18312
585	25851	18263
586	25893	18217
587	25935	18172
588	25971	18122
589	26000	18068
590	26034	18017
591	26073	17969
592	26106	17917
593	26150	17874
594	26176	17817
595	26216	17771
596	26251	17720
597	26287	17671
598	26323	17622
599	26361	17574
600	26397	17525
601	26442	17481
602	26484	17436
603	26523	17389
604	26569	17346
605	26613	17303
606	26652	17256
607	26689	17207
608	26729	17161
609	26766	17112
610	26806	17066
611	26842	17018
612	26881	16970
613	26926	16927
614	26961	16878
615	27000	16831
616	27045	16788
617	27085	16742
618	27123	16695
619	27164	16649
620	27209	16605
621	27246	16558
622	27288	16513
623	27329	16467
624	27366	16419
625	27404	16372
626	27439	16323
627	27486	16281
628	27527	16236
629	27568	16190
630	27607	16144
631	27647	16098
632	27691	16054
633	27735	16011
634	27771	15963
635	27810	15916
636	27846	15868
637	27886	15822
638	27931	15779
639	27971	15734
640	28017	15691
641	28052	15643
642	28089	15595
643	28121	15545
644	28159	15498
645	28198	15452
646	28228	15401
647	28265	15354
648	28295	15303
649	28328	15253
650	28367	15207
651	28411	15164
652	28447	15117
653	28483	15069
654	28520	15022
655	28563	14978
656	28594	14928
657	28635	14883
658	28673	14836
659	28705	14787
660	28743	14741
661	28777	14693
662	28815	14646
663	28848	14598
664	28887	14552
665	28925	14506
666	28961	14458
667	29002	14414
668	29039	14367
669	29081	14323
670	29118	14277
671	29156	14230
672	29200	14188
673	29245	14145
674	29289	14102
675	29343	14063
676	29379	14017
677	29411	13968
678	29454	13924
679	29500	13882
680	29540	13837
681	29582	13793
682	29620	13747
683	29658	13702
684	29694	13655
685	29726	13606
686	29765	13561
687	29795	13512
688	29826	13463
689	29860	13415
690	29895	13368
691	29932	13322
692	29969	13276
693	30003	13229
694	30036	13181
695	30070	13134
696	30113	13091
697	30150	13044
698	30190	13000
699	30232	12956
700	30272	12912
701	30311	12867
702	30348	12821
703	30386	12776
704	30423	12730
705	30457	12683
706	30494	12637
707	30531	12592
708	30581	12551
709	30614	12504
710	30656	12460
711	30698	12417
712	30740	12373
713	30774	12327
714	30815	12282
715	31017	12302
716	31152	12295
717	31190	12250
718	31224	12203
719	31263	12158
720	31298	12111
721	31339	12066
722	31377	12021
723	31418	11977
724	31459	11933
725	31492	11885
726	31539	11843
727	31575	11797
728	31625	11756
729	31671	11714
730	31700	11665
731	31731	11617
732	31760	11569
733	31794	11522
734	31828	11475
735	31864	11429
736	31903	11384
737	31935	11337
738	31974	11292
739	32018	11249
740	32057	11205
741	32090	11157
742	32128	11113
743	32173	11070
744	32205	11023
745	32246	10979
746	32283	10934
747	32324	10890
748	32367	10846
749	32404	10801
750	32443	10756
751	32483	10712
752	32517	10666
753	32559	10622
754	32598	10578
755	32632	10532
756	32673	10488
